run,config,model,tier,loss,balance,fold,params,val_f1_all,val_f1_nobg,val_sens,val_spec,best_epoch,n_epochs,test_f1_all,test_f1_nobg,test_oa,test_tt_sens,test_tt_f1,latency_s
1dnnfabelo_ce_bal_fold4_vpfabelo,1dnnfabelo_ce_bal_vpfabelo,1D-NN-Fabelo,1,CE,bal,4,4936,76.70137713087706,70.45174013747251,79.98276227473886,96.3026651616212,34,49,76.91975854943134,75.20653059966261,83.54661420835953,62.43703703703704,55.910055717697006,
1dnnfabelo_ce_nobal_fold4_vpfabelo,1dnnfabelo_ce_nobal_vpfabelo,1D-NN-Fabelo,1,CE,nobal,4,4936,78.73987510024571,73.0598580794494,81.14742179238036,96.42286508276803,11,22,81.638963500965,81.15368061309347,85.623719807743,59.977777777777774,69.87702265372168,
1dnnfabelo_ce_bal_fold5_vpfabelo,1dnnfabelo_ce_bal_vpfabelo,1D-NN-Fabelo,1,CE,bal,5,4936,75.69227799118968,72.44746808764062,73.63476276614199,96.10461788417788,25,40,72.66811585191638,72.17789194905473,79.69741832119897,44.992592592592594,50.25441608406073,
1dnnfabelo_ce_nobal_fold5_vpfabelo,1dnnfabelo_ce_nobal_vpfabelo,1D-NN-Fabelo,1,CE,nobal,5,4936,84.8371276669495,81.38652205032034,87.41425377657012,98.26896432585946,17,18,79.94485284359872,78.92527816551134,84.48883570950537,60.711111111111116,65.82339477171425,
1dnnfabelo_dl_bal_fold1_vpfabelo,1dnnfabelo_dl_bal_vpfabelo,1D-NN-Fabelo,1,DL,bal,1,4936,51.67763777059259,45.81513243440827,58.59036345594815,86.83163880167031,1,16,46.96207600055419,41.69684405287992,64.7119187166643,0.08888888888888889,0.17515691139979567,
1dnnfabelo_dl_nobal_fold1_vpfabelo,1dnnfabelo_dl_nobal_vpfabelo,1D-NN-Fabelo,1,DL,nobal,1,4936,68.7046378322001,60.04627214879626,72.79132332409174,95.04398021615468,17,19,74.58378334833368,71.8166218976147,83.6180007706504,32.45925925925926,46.167623663277666,
1dnnfabelo_dl_bal_fold2_vpfabelo,1dnnfabelo_dl_bal_vpfabelo,1D-NN-Fabelo,1,DL,bal,2,4936,68.0128021980025,61.45139893929263,74.65429113967208,94.49326183078595,41,50,66.0729056196083,64.08132400991305,75.9999188789065,39.22962962962963,23.333994228184963,
1dnnfabelo_dl_nobal_fold2_vpfabelo,1dnnfabelo_dl_nobal_vpfabelo,1D-NN-Fabelo,1,DL,nobal,2,4936,81.90890323483148,76.98710711876664,78.97477760019001,97.0723215822012,5,20,74.59040227698468,71.67585156881185,83.63544180575553,42.27407407407407,41.86780133519184,
1dnnfabelo_dl_bal_fold3_vpfabelo,1dnnfabelo_dl_bal_vpfabelo,1D-NN-Fabelo,1,DL,bal,3,4936,69.09502947041571,65.13791276192339,71.1958504602238,94.69423602502431,3,18,62.04364229461342,61.83589577937737,73.26127076192988,27.370370370370374,20.48339708409557,
1dnnfabelo_dl_nobal_fold3_vpfabelo,1dnnfabelo_dl_nobal_vpfabelo,1D-NN-Fabelo,1,DL,nobal,3,4936,75.19357613920677,68.27618316889291,76.21668256266332,97.58902192038997,3,18,71.37481028164166,67.27069415807276,82.6891642499341,30.822222222222223,31.014049863973465,
1dnnfabelo_dl_bal_fold4_vpfabelo,1dnnfabelo_dl_bal_vpfabelo,1D-NN-Fabelo,1,DL,bal,4,4936,74.74424188365313,68.27102228425504,79.44711763168245,95.66684734285906,65,66,70.62044943062729,68.698511444155,78.5098055121783,64.53333333333333,36.73237061241699,
1dnnfabelo_dl_nobal_fold4_vpfabelo,1dnnfabelo_dl_nobal_vpfabelo,1D-NN-Fabelo,1,DL,nobal,4,4936,75.86294621062996,68.63507829985323,72.9564170897438,96.24080609372659,3,18,72.97838282871506,69.16849623336225,83.4590034273662,34.2962962962963,35.327330993438125,
1dnnfabelo_dl_bal_fold5_vpfabelo,1dnnfabelo_dl_bal_vpfabelo,1D-NN-Fabelo,1,DL,bal,5,4936,66.45828760051941,62.58380474537027,66.01176854207291,95.69909805853487,3,18,59.531991951465166,61.11645326183326,71.480662759334,24.296296296296298,16.12387857932899,
1dnnfabelo_dl_nobal_fold5_vpfabelo,1dnnfabelo_dl_nobal_vpfabelo,1D-NN-Fabelo,1,DL,nobal,5,4936,72.77037505953012,65.0955358440234,73.71699685305082,97.62591484195762,16,18,74.43037079095048,71.59229498233528,83.76685797724554,30.777777777777775,43.31734778982486,
1dnnfabelo_fl_bal_fold1_vpfabelo,1dnnfabelo_fl_bal_vpfabelo,1D-NN-Fabelo,1,FL,bal,1,4936,57.59843772094499,49.645400321957695,74.27068103446564,91.2676859159132,13,14,68.41455568702808,67.0985466632765,75.43612727899573,77.29629629629629,37.01207725184883,
1dnnfabelo_fl_nobal_fold1_vpfabelo,1dnnfabelo_fl_nobal_vpfabelo,1D-NN-Fabelo,1,FL,nobal,1,4936,57.78186179198526,49.79171112443928,74.24366225749883,91.61578860166225,4,12,63.37907361555209,64.79842604746504,70.50883205905616,70.92592592592592,28.022066462781137,
1dnnfabelo_fl_bal_fold2_vpfabelo,1dnnfabelo_fl_bal_vpfabelo,1D-NN-Fabelo,1,FL,bal,2,4936,83.56753698989176,79.09579644629247,82.63795766584482,97.52199849257163,15,17,70.27504029638303,67.20379910776423,80.67736113082805,38.46666666666667,31.34449977365324,
1dnnfabelo_fl_nobal_fold2_vpfabelo,1dnnfabelo_fl_nobal_vpfabelo,1D-NN-Fabelo,1,FL,nobal,2,4936,78.85109468742996,75.16564441801302,88.44004189346218,95.7755810916071,8,11,66.18333262865936,66.91845522074988,73.6506520107891,73.71111111111112,32.95415031543391,
1dnnfabelo_fl_bal_fold3_vpfabelo,1dnnfabelo_fl_bal_vpfabelo,1D-NN-Fabelo,1,FL,bal,3,4936,72.0807812213759,66.56247281620963,74.84194431952007,95.95364018260328,11,12,72.40329947760583,71.04864154445089,79.97120201180311,58.17037037037037,45.45875542691751,
1dnnfabelo_fl_nobal_fold3_vpfabelo,1dnnfabelo_fl_nobal_vpfabelo,1D-NN-Fabelo,1,FL,nobal,3,4936,70.60281031608004,66.2683056002205,75.64936635831158,95.2264602269864,4,12,67.10499217011554,66.63494796217837,75.1947920257965,64.77037037037037,35.538214554248206,
1dnnfabelo_fl_bal_fold4_vpfabelo,1dnnfabelo_fl_bal_vpfabelo,1D-NN-Fabelo,1,FL,bal,4,4936,73.92785700200027,66.58833326354032,73.48539207901248,95.21925828648332,11,15,79.38986831861558,78.62157846109744,84.24019955789004,57.68148148148148,63.03476747480471,
1dnnfabelo_fl_nobal_fold4_vpfabelo,1dnnfabelo_fl_nobal_vpfabelo,1D-NN-Fabelo,1,FL,nobal,4,4936,70.36108682417634,64.43030330016381,82.58753657823348,94.27061989440315,8,11,64.20496624209846,65.62773414645031,71.63884889168305,74.79259259259258,32.2768320946216,
1dnnfabelo_fl_bal_fold5_vpfabelo,1dnnfabelo_fl_bal_vpfabelo,1D-NN-Fabelo,1,FL,bal,5,4936,73.78241102992787,68.97639269910906,73.69565146353602,96.3457770696246,9,18,70.891006322369,69.92703647521176,78.14922225151595,59.266666666666666,44.93555362107214,
1dnnfabelo_fl_nobal_fold5_vpfabelo,1dnnfabelo_fl_nobal_vpfabelo,1D-NN-Fabelo,1,FL,nobal,5,4936,74.76216148639581,70.88975136897311,84.81094543264581,95.39104730820452,11,12,67.60640215858808,68.9432960753754,75.15707071731327,74.45185185185184,38.51548129981606,
